workload,sequence_length,head_dimension,seed,model,model_role,lut_entries,lut_q_bits,lut_input_scale,lut_output_scale,probability_mae,probability_stable_relative_error,probability_cosine_similarity,output_mae,output_stable_relative_error,output_cosine_similarity,probability_sum,probability_sum_error,tile_size,tile_count,merge_count,tile_lengths,final_m,final_l,reciprocal_overflow_count,reciprocal_unsupported_count,ab_probability_mae,ab_probability_stable_relative_error,ab_probability_cosine_similarity,ab_output_mae,ab_output_stable_relative_error,ab_output_cosine_similarity,ab_probability_sum_error,optimized_vs_fp32_probability_mae,optimized_vs_fp32_probability_stable_relative_error,optimized_vs_fp32_probability_cosine_similarity,optimized_vs_fp32_output_mae,optimized_vs_fp32_output_stable_relative_error,optimized_vs_fp32_output_cosine_similarity,optimized_vs_fp32_probability_sum_error
random_scores,256,128,4018679175,mixed,primary,256,14,32.0,16384,3.5053535498445694e-05,0.0089737050876021,0.9999474020284818,0.0007231255779923758,0.01049075581469121,0.9999372253931762,1.0002468982420396,0.000246898242039606,32,8,7,"[7.630859375, 11.332763671875, 6.6517333984375, 10.32708740234375, 6.88092041015625, 7.183837890625, 6.27276611328125, 9.41412353515625]",2.173828125,47.356258392333984,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
random_scores,256,128,4018679175,mixed_exact_exp,diagnostic,256,14,32.0,16384,1.9537270125061447e-06,0.0005001541152015732,0.9999998203323442,4.74796713499101e-05,0.0006888120866593778,0.9999998104684781,0.9997185671672923,0.00028143283270765096,32,8,7,"[7.622569561004639, 11.354764938354492, 6.659359455108643, 10.347555160522461, 6.883027076721191, 7.19505500793457, 6.2540154457092285, 9.413002967834473]",2.173828125,47.239078521728516,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
random_scores,256,128,4018679175,mixed_rtl_exact,diagnostic,256,14,32.0,16384,3.5053535498445694e-05,0.0089737050876021,0.9999474020284818,0.0007231255779923758,0.01049075581469121,0.9999372253931762,1.0002468982420396,0.000246898242039606,32,8,7,"[7.630859375, 11.332763671875, 6.6517333984375, 10.32708740234375, 6.88092041015625, 7.183837890625, 6.27276611328125, 9.41412353515625]",2.173828125,47.35624313354492,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
random_scores,256,128,4018679175,mixed_rtl_reciprocal,diagnostic,256,14,32.0,16384,3.4950029544415724e-05,0.008947207563370427,0.9999478286934009,0.000719065443642392,0.010431853351084854,0.9999378723878501,1.0002774321183097,0.00027743211830966175,32,8,7,"[7.630859375, 11.332763671875, 6.6517333984375, 10.32708740234375, 6.88092041015625, 7.183837890625, 6.27276611328125, 9.41412353515625]",2.173828125,47.35624313354492,0,0,1.1927295417990535e-07,3.0526339370529284e-05,0.99999998018753,1.466733192501124e-05,0.00021293092729123163,0.9999999808111363,3.053387627005577e-05,3.495006927778377e-05,0.008947217403235013,0.9999478287218486,0.0007190670012278133,0.010431875603897434,0.9999378723770077,0.00027739502547774464
random_scores,512,64,1909759386,fp32,primary,NA,NA,NA,NA,1.8977248323496704e-10,9.716351141630312e-08,0.9999999999999948,9.16568764598586e-09,1.8578253086225265e-07,0.9999999999999833,0.9999999546998879,4.530011210590601e-08,32,16,15,"[5.481416702270508, 5.508682727813721, 5.711916446685791, 6.420799732208252, 9.088866233825684, 3.4327991008758545, 8.108023643493652, 7.5763468742370605, 8.783218383789062, 4.622342586517334, 10.997854232788086, 7.84526252746582, 7.956825256347656, 11.015686988830566, 5.328744888305664, 5.663087844848633]",3.189426898956299,33.8310661315918,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
random_scores,512,64,1909759386,fp16,primary,NA,NA,NA,NA,1.7541801966051125e-06,0.0008981402606618176,0.999999599899945,9.248903083897727e-05,0.001874692536984654,0.9999981867354154,0.9992825388908386,0.000717461109161377,32,16,15,"[5.48046875, 5.51171875, 5.70703125, 6.42578125, 9.0859375, 3.439453125, 8.109375, 7.57421875, 8.78125, 4.6171875, 11.0, 7.84765625, 7.9609375, 11.0234375, 5.328125, 5.65625]",3.189453125,33.84375,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
random_scores,512,64,1909759386,mixed,primary,256,14,32.0,16384,1.780438536221685e-05,0.009115845305455027,0.9999557139003283,0.0004468853107294169,0.009058074771818745,0.9999564893940941,1.0002795801920001,0.0002795801920001395,32,16,15,"[5.48040771484375, 5.50933837890625, 5.707275390625, 6.42523193359375, 9.09259033203125, 3.43701171875, 8.116455078125, 7.5889892578125, 8.79913330078125, 4.6121826171875, 11.02960205078125, 7.834716796875, 7.97442626953125, 11.03350830078125, 5.33355712890625, 5.6563720703125]",3.189453125,33.995460510253906,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
random_scores,512,64,1909759386,mixed_exact_exp,diagnostic,256,14,32.0,16384,1.11385046842436e-06,0.0005702914398332723,0.9999998693881991,3.1267844166014595e-05,0.0006337788770614271,0.9999998316351512,0.9995731813687598,0.0004268186312401667,32,16,15,"[5.4801459312438965, 5.512050151824951, 5.708513259887695, 6.4226484298706055, 9.08719539642334, 3.4327123165130615, 8.107604026794434, 7.574263095855713, 8.784934997558594, 4.620415687561035, 10.997684478759766, 7.84788703918457, 7.958812713623047, 11.01803970336914, 5.330832004547119, 5.658583164215088]",3.189453125,33.830780029296875,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
random_scores,512,64,1909759386,mixed_rtl_exact,diagnostic,256,14,32.0,16384,1.780438536221685e-05,0.009115845305455027,0.9999557139003283,0.0004468853107294169,0.009058074771818745,0.9999564893940941,1.0002795801920001,0.0002795801920001395,32,16,15,"[5.48040771484375, 5.50933837890625, 5.707275390625, 6.42523193359375, 9.09259033203125, 3.43701171875, 8.116455078125, 7.5889892578125, 8.79913330078125, 4.6121826171875, 11.02960205078125, 7.834716796875, 7.97442626953125, 11.03350830078125, 5.33355712890625, 5.6563720703125]",3.189453125,33.99544906616211,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
random_scores,512,64,1909759386,mixed_rtl_reciprocal,diagnostic,256,14,32.0,16384,1.7815283240372296e-05,0.009121425019070616,0.999955646823714,0.0004462727398004509,0.009045658357261373,0.9999566244500018,1.0002848722724593,0.00028487227245932445,32,16,15,"[5.48040771484375, 5.50933837890625, 5.707275390625, 6.42523193359375, 9.09259033203125, 3.43701171875, 8.116455078125, 7.5889892578125, 8.79913330078125, 4.6121826171875, 11.02960205078125, 7.834716796875, 7.97442626953125, 11.03350830078125, 5.33355712890625, 5.6563720703125]",3.189453125,33.99544906616211,0,0,1.089787815544696e-08,5.578154074201772e-06,0.9999999982870075,3.6279161577112973e-06,7.350053709998201e-05,0.9999999974414413,5.292080459184945e-06,1.7815310243918248e-05,0.009121439258088363,0.9999556466807964,0.0004462755750864744,0.009045716373773374,0.9999566240630479,0.00028491757257143036
