case_id,split,entries,q_bits,rom_bits,sequence_length,head_dimension,score_scale,repetition,seed,probability_stable_relative_error,output_stable_relative_error,case_worst_error,probability_sum_error
random_scores_L512_D128_scale1_R0,validation,256,14,4096,512,128,2.0,0,1623223912,0.010860659314036888,0.008614574220931221,0.010860659314036888,0.000391277408652968
random_scores_L512_D128_scale1_R1,validation,256,14,4096,512,128,2.0,1,2972957234,0.00811294994730917,0.0073225621447665055,0.00811294994730917,0.00036857405848422786
random_scores_L1024_D64_scale0_R0,validation,256,14,4096,1024,64,1.0,0,2428269790,0.00945441639018274,0.011036336896491836,0.011036336896491836,0.0003698208092828281
random_scores_L1024_D64_scale0_R1,validation,256,14,4096,1024,64,1.0,1,2465942083,0.009679658850003813,0.010256678822146731,0.010256678822146731,1.239141056430526e-05
random_scores_L1024_D64_scale1_R0,validation,256,14,4096,1024,64,2.0,0,2646275298,0.008576434659368963,0.008492746637819376,0.008576434659368963,0.0002124243881098664
random_scores_L1024_D64_scale1_R1,validation,256,14,4096,1024,64,2.0,1,2127805685,0.01223623303052913,0.008949186684886472,0.01223623303052913,0.0009338891188690468
random_scores_L1024_D128_scale0_R0,validation,256,14,4096,1024,128,1.0,0,1618877226,0.009675370081339405,0.0109010208666942,0.0109010208666942,0.00021193338034208864
random_scores_L1024_D128_scale0_R1,validation,256,14,4096,1024,128,1.0,1,3199744503,0.010866037655906895,0.013243961575588083,0.013243961575588083,0.00026640092437446583
random_scores_L1024_D128_scale1_R0,validation,256,14,4096,1024,128,2.0,0,3012212165,0.010178369585495473,0.008418236654155826,0.010178369585495473,0.000913567490101741
random_scores_L1024_D128_scale1_R1,validation,256,14,4096,1024,128,2.0,1,3940770873,0.009351607744746832,0.00910938848935384,0.009351607744746832,0.0009435069277969887
random_scores_L128_D64_scale0_R0,final_test,256,14,4096,128,64,1.0,0,624292938,0.007485893459005206,0.006951427446913527,0.007485893459005206,0.000229463359573856
random_scores_L128_D64_scale0_R1,final_test,256,14,4096,128,64,1.0,1,217281306,0.008642722300741222,0.007327046361798769,0.008642722300741222,6.917666178196669e-05
random_scores_L128_D64_scale1_R0,final_test,256,14,4096,128,64,2.0,0,3359465834,0.005658416734042687,0.0032564550199576077,0.005658416734042687,0.00041110385609499644
random_scores_L128_D64_scale1_R1,final_test,256,14,4096,128,64,2.0,1,2174172786,0.0035329404222756954,0.0008896241912502929,0.0035329404222756954,0.0004956214688718319
random_scores_L128_D128_scale0_R0,final_test,256,14,4096,128,128,1.0,0,1909645211,0.00803808588931676,0.007514953507418739,0.00803808588931676,0.00019833585247397423
random_scores_L128_D128_scale0_R1,final_test,256,14,4096,128,128,1.0,1,3255692506,0.007722076468347673,0.008934517622950037,0.008934517622950037,0.000336481723934412
random_scores_L128_D128_scale1_R0,final_test,256,14,4096,128,128,2.0,0,2019810081,0.00679956998416571,0.007035757508263805,0.007035757508263805,0.0003272833546361653
random_scores_L128_D128_scale1_R1,final_test,256,14,4096,128,128,2.0,1,2978631166,0.005998510455780247,0.0042851471044598865,0.005998510455780247,0.0002735619054874405
random_scores_L256_D64_scale0_R0,final_test,256,14,4096,256,64,1.0,0,2367557448,0.011143722934382632,0.014776505807496556,0.014776505807496556,0.00018666473624762148
random_scores_L256_D64_scale0_R1,final_test,256,14,4096,256,64,1.0,1,1674591988,0.006942547442336277,0.007995393913279835,0.007995393913279835,0.0003871780209010467
random_scores_L256_D64_scale1_R0,final_test,256,14,4096,256,64,2.0,0,441878354,0.004645864574952574,0.0015761641883436186,0.004645864574952574,8.870577039488126e-05
random_scores_L256_D64_scale1_R1,final_test,256,14,4096,256,64,2.0,1,3504234577,0.00713041562427646,0.005433615393581722,0.00713041562427646,0.0002569981670603738
random_scores_L256_D128_scale0_R0,final_test,256,14,4096,256,128,1.0,0,1871249097,0.00808756406118262,0.00865855491045653,0.00865855491045653,0.00028043583733960986
random_scores_L256_D128_scale0_R1,final_test,256,14,4096,256,128,1.0,1,4090941081,0.01015862060806232,0.010802834658543219,0.010802834658543219,0.0004067561822012067
random_scores_L256_D128_scale1_R0,final_test,256,14,4096,256,128,2.0,0,3217101173,0.012177484304633644,0.010244575707047192,0.012177484304633644,5.334423985914327e-05
random_scores_L256_D128_scale1_R1,final_test,256,14,4096,256,128,2.0,1,3837859703,0.006287502683474051,0.0053025680993983295,0.006287502683474051,1.068384017344215e-05
random_scores_L512_D64_scale0_R0,final_test,256,14,4096,512,64,1.0,0,704213214,0.011926438186235438,0.014361709306834997,0.014361709306834997,0.00023813948791939765
random_scores_L512_D64_scale0_R1,final_test,256,14,4096,512,64,1.0,1,1267423294,0.008963018465628178,0.009820935160595255,0.009820935160595255,0.0001302940581808798
