candidate_id,opcode,opcode_name,funct3,funct7,rs1,rs2,variable_rd,words_checked,active_decoder_family_overlap_count,selected_generator_family_overlap_count,all_source_generator_family_overlap_count,active_decoder_all_32_rd_safe,selected_generator_all_32_rd_safe,all_source_all_32_rd_safe,status,pattern
,0x5b,custom-2,0,109,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,11011010000000000000?????1011011
,0x5b,custom-2,0,110,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,11011100000000000000?????1011011
,0x5b,custom-2,0,111,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,11011110000000000000?????1011011
,0x5b,custom-2,0,112,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,11100000000000000000?????1011011
,0x5b,custom-2,0,113,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,11100010000000000000?????1011011
,0x5b,custom-2,0,114,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,11100100000000000000?????1011011
,0x5b,custom-2,0,115,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,11100110000000000000?????1011011
,0x5b,custom-2,0,116,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,11101000000000000000?????1011011
,0x5b,custom-2,0,117,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,11101010000000000000?????1011011
,0x5b,custom-2,0,118,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,11101100000000000000?????1011011
,0x5b,custom-2,0,119,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,11101110000000000000?????1011011
,0x5b,custom-2,0,120,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,11110000000000000000?????1011011
,0x5b,custom-2,0,121,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,11110010000000000000?????1011011
,0x5b,custom-2,0,122,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,11110100000000000000?????1011011
,0x5b,custom-2,0,123,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,11110110000000000000?????1011011
,0x5b,custom-2,0,124,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,11111000000000000000?????1011011
,0x5b,custom-2,0,125,x0,x0,x0..x31,32,0,1,1,Yes,No,No,UNSAFE,11111010000000000000?????1011011
,0x5b,custom-2,0,126,x0,x0,x0..x31,32,0,0,0,Yes,Yes,Yes,SAFE,11111100000000000000?????1011011
