instruction_name,source_name,pattern,source_file,source_location,generation_input
VFSUB_R_H,vfsub.r.h,1000010??????????110?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:320,No
VFMUL_H,vfmul.h,1000011??????????010?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:321,No
VFMUL_R_H,vfmul.r.h,1000011??????????110?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:322,No
VFDIV_H,vfdiv.h,1000100??????????010?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:323,No
VFDIV_R_H,vfdiv.r.h,1000100??????????110?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:324,No
VFMIN_H,vfmin.h,1000101??????????010?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:325,No
VFMIN_R_H,vfmin.r.h,1000101??????????110?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:326,No
VFMAX_H,vfmax.h,1000110??????????010?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:327,No
VFMAX_R_H,vfmax.r.h,1000110??????????110?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:328,No
VFSQRT_H,vfsqrt.h,100011100000?????010?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:329,No
VFMAC_H,vfmac.h,1001000??????????010?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:330,No
VFMAC_R_H,vfmac.r.h,1001000??????????110?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:331,No
VFMRE_H,vfmre.h,1001001??????????010?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:332,No
VFMRE_R_H,vfmre.r.h,1001001??????????110?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:333,No
VFCLASS_H,vfclass.h,100110000001?????010?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:334,No
VFSGNJ_H,vfsgnj.h,1001101??????????010?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:335,No
VFSGNJ_R_H,vfsgnj.r.h,1001101??????????110?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:336,No
VFSGNJN_H,vfsgnjn.h,1001110??????????010?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:337,No
VFSGNJN_R_H,vfsgnjn.r.h,1001110??????????110?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:338,No
VFSGNJX_H,vfsgnjx.h,1001111??????????010?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:339,No
VFSGNJX_R_H,vfsgnjx.r.h,1001111??????????110?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:340,No
VFEQ_H,vfeq.h,1010000??????????010?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:341,No
VFEQ_R_H,vfeq.r.h,1010000??????????110?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:342,No
VFNE_H,vfne.h,1010001??????????010?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:343,No
VFNE_R_H,vfne.r.h,1010001??????????110?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:344,No
VFLT_H,vflt.h,1010010??????????010?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:345,No
VFLT_R_H,vflt.r.h,1010010??????????110?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:346,No
VFGE_H,vfge.h,1010011??????????010?????0110011,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-flt-occamy_CUSTOM:347,No
