candidate,candidate_pattern,conflicting_instruction,existing_pattern,witness_machine_word,source_kind,source_file,source_location
custom-2_f1_f7_29,00111010000000000001?????1011011,IMSUB,?????01??????????001?????1011011,0x3a00105b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:42
custom-2_f1_f7_33,01000010000000000001?????1011011,IMSUB,?????01??????????001?????1011011,0x4200105b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:42
custom-2_f1_f7_36,01001000000000000001?????1011011,ISBCLR,0100100??????????001?????1011011,0x4800105b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:60
custom-2_f1_f7_37,01001010000000000001?????1011011,IMSUB,?????01??????????001?????1011011,0x4a00105b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:42
custom-2_f1_f7_41,01010010000000000001?????1011011,IMSUB,?????01??????????001?????1011011,0x5200105b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:42
custom-2_f1_f7_45,01011010000000000001?????1011011,IMSUB,?????01??????????001?????1011011,0x5a00105b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:42
custom-2_f1_f7_48,01100000000000000001?????1011011,IROL,0110000??????????001?????1011011,0x6000105b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:57
custom-2_f1_f7_49,01100010000000000001?????1011011,IMSUB,?????01??????????001?????1011011,0x6200105b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:42
custom-2_f1_f7_52,01101000000000000001?????1011011,ISBINV,0110100??????????001?????1011011,0x6800105b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:62
custom-2_f1_f7_53,01101010000000000001?????1011011,IMSUB,?????01??????????001?????1011011,0x6a00105b,generator,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM,sw/toolchain/riscv-opcodes/opcodes-ipu_CUSTOM:42
